Time,Message ID,Initial Ammonia Concentration,Initial Hydrogen Sulfide Concentration,Maximum Pressure,Volumetric Flow Rate,Cost Per Gram (Copper Sulfate),Cost Per Gram (Ammonia),Cost Per Gram (Sulfuric Acid),Cost Per Kilowatt Hour,Number of Chemical Analyzers,Volumetric Flow Rate,Hydrogen Sulfide Concentration,Ammonia Concentration,Water Concentration,Max Applied Pressure,Concentration of Hydrogen Sulfide (leaving CSTR),Concentration of Ammonia (leaving CSTR),Concentration of Hydrogen Sulfide (leaving SSU),Concentration of Ammonia (leaving SUU),Final Concentration of Hydrogen Sulfide,Final Concentration of Ammonia,Final Concentration of Water,Power Consumption (KhW/s),Clean Water Production Percentage,Current Cost Of Power Per Second,Current Cost Of Chemicals Per Second,Current Segment Cost Per Liter,Grams CuS,Grams NH3,Grams H2SO4,NGSWAT-100,NGSWAT-200,NGSWAT-300,NGSWAT-400,Simulation Ticks,Segment Ticks,Segment Liters Treated,Segment Cost,Max Hydrogen Sulfide Concentration,Min Hydrogen Sulfide Concentration,Max Ammonia Concentration,Min Ammonia Concentration,Max Clean Water Percentage,Min Clean Water Percentage,Max Cost Per Liter,Min Cost Per Liter,Total Cost,Total Liters Treated,Average Cost Per Liter,Average Hydrogen Sulfide Concentration,Average Ammonia Concentration,Average Clean Water Percentage
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,7245,204.09,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.814618,97.808376,0.0282,0.0281,204.09,7245,0.0282,0.00E+00,1.20E-10,97.811637
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,11999.12,988000.88,70000,0,0.01199912,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81195817,0.006333333,8.871770927,8.87,0,0,10898.9815,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,7560,212.96,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.814618,97.808376,0.0282,0.0281,212.96,7560,0.0282,0.00E+00,1.20E-10,97.81165
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,12005.82,987994.18,70000,0,0.01200582,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81075417,0.006333333,8.87671994,8.88,0,0,10905.0614,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,7875,221.84,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.814618,97.808376,0.0282,0.0281,221.84,7875,0.0282,0.00E+00,1.20E-10,97.811614
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,11995.41,988004.59,70000,0,0.01199541,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81262688,0.006333333,8.869022244,8.87,0,0,10895.6047,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,8190,230.71,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.814618,97.808376,0.0282,0.0281,230.71,8190,0.0282,0.00E+00,1.20E-10,97.811653
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,11993.54,988006.46,70000,0,0.01199354,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81296227,0.006333333,8.867643665,8.87,0,0,10893.9111,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,27,8505,239.58,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.814618,97.808376,0.0282,0.0281,239.58,8505,0.0282,0.00E+00,1.20E-10,97.811702
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,11999.96,988000.04,70000,0,0.01199996,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81180694,0.006333333,8.872392549,8.87,0,0,10899.7451,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
